word1	word2	JointLaplace
</s>	<s>	0.1965
of	the	0.07026315789473683
in	the	0.06731578947368422
the	fly	0.06401052631578948
the	body	0.06351052631578948
the	child	0.06171052631578947
the	wings	0.06121052631578947
the	home	0.060810526315789475
the	house	0.060810526315789475
the	most	0.060310526315789474
the	field	0.059810526315789474
the	jar	0.059410526315789476
the	mouth	0.059410526315789476
the	fall	0.059410526315789476
the	rural	0.059410526315789476
the	maggots	0.058910526315789476
the	bottom	0.058910526315789476
the	life	0.058910526315789476
the	mosquito	0.058910526315789476
the	insects	0.058910526315789476
